location,date,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,population
Australia,2020-01-03,,,,,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-04,,,,,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-05,,,,,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-06,,,,,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-07,,,,,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-08,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-09,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-10,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-11,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-12,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-13,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-14,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-15,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-16,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-17,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-18,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-19,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-20,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-21,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-22,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-23,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-24,,0.0,,0.0,,,,,,,,0.0,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-25,0.038,0.005,,0.0,,,,,,,,5.56,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-26,0.153,0.022,,0.0,,,,,,,,5.56,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-27,0.153,0.022,,0.0,,,,,,,,5.56,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-28,0.191,0.027,,0.0,,,,,,,,5.56,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-29,0.191,0.027,,0.0,,,,,,,,5.56,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-30,0.267,0.038,,0.0,,,,,,,,5.56,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-01-31,0.344,0.049,,0.0,,,,,,,,5.56,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-02-01,0.344,0.044,,0.0,,,,,,,,13.89,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-02-02,0.458,0.044,,0.0,,,,,,,,13.89,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-02-03,0.458,0.044,,0.0,,,,,,,,19.44,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-02-04,0.458,0.038,,0.0,,,,,,,,19.44,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
Australia,2020-02-05,0.497,0.044,,0.0,,,,,,,,19.44,3.202,37.9,0.5,107.791,5.07,13.0,16.5,3.84,26177410.0
